id,regency_id,code,name
110101,1101,11.01.01,Bakongan
110102,1101,11.01.02,Kluet Utara
110103,1101,11.01.03,Kluet Selatan
110104,1101,11.01.04,Labuhanhaji
110105,1101,11.01.05,Meukek
110106,1101,11.01.06,Samadua
110107,1101,11.01.07,Sawang
110108,1101,11.01.08,Tapaktuan
110109,1101,11.01.09,Trumon
110110,1101,11.01.10,Pasie Raja
110111,1101,11.01.11,Labuhanhaji Timur
110112,1101,11.01.12,Labuhanhaji Barat
110113,1101,11.01.13,Kluet Tengah
110114,1101,11.01.14,Kluet Timur
110115,1101,11.01.15,Bakongan Timur
110116,1101,11.01.16,Trumon Timur
110117,1101,11.01.17,Kota Bahagia
110118,1101,11.01.18,Trumon Tengah
110201,1102,11.02.01,Lawe Alas
110202,1102,11.02.02,Lawe Sigala-Gala
110203,1102,11.02.03,Bambel
110204,1102,11.02.04,Babussalam
110205,1102,11.02.05,Badar
110206,1102,11.02.06,Babul Makmur
110207,1102,11.02.07,Darul Hasanah
110208,1102,11.02.08,Lawe Bulan
110209,1102,11.02.09,Bukit Tusam
110210,1102,11.02.10,Semadam
110211,1102,11.02.11,Babul Rahmah
110212,1102,11.02.12,Ketambe
110213,1102,11.02.13,Deleng Pokhkisen
110214,1102,11.02.14,Lawe Sumur
110215,1102,11.02.15,Tanoh Alas
110216,1102,11.02.16,Leuser
110301,1103,11.03.01,Darul Aman
110302,1103,11.03.02,Julok
110303,1103,11.03.03,Idi Rayeuk
110304,1103,11.03.04,Birem Bayeun
110305,1103,11.03.05,Serbajadi
110306,1103,11.03.06,Nurussalam
110307,1103,11.03.07,Peureulak
110308,1103,11.03.08,Rantau Selamat
110309,1103,11.03.09,Simpang Ulim
110310,1103,11.03.10,Ranto Peureulak
110311,1103,11.03.11,Pante Bidari
110312,1103,11.03.12,Madat
110313,1103,11.03.13,Indra Makmu
110314,1103,11.03.14,Idi Tunong
110315,1103,11.03.15,Banda Alam
110316,1103,11.03.16,Peudawa
110317,1103,11.03.17,Peureulak Timur
110318,1103,11.03.18,Peureulak Barat
110319,1103,11.03.19,Sungai Raya
110320,1103,11.03.20,Simpang Jernih
110321,1103,11.03.21,Darul Ihsan
