id,code,name
11,11,Aceh
12,12,Sumatera Utara
13,13,Sumatera Barat
14,14,Riau
15,15,Jambi
16,16,Sumatera Selatan
17,17,Bengkulu
18,18,Lampung
19,19,Kepulauan Bangka Belitung
21,21,Kepulauan Riau
31,31,Daerah Khusus Ibukota Jakarta
32,32,Jawa Barat
33,33,Jawa Tengah
34,34,Daerah Istimewa Yogyakarta
35,35,Jawa Timur
36,36,Banten
51,51,Bali
52,52,Nusa Tenggara Barat
53,53,Nusa Tenggara Timur
61,61,Kalimantan Barat
62,62,Kalimantan Tengah
63,63,Kalimantan Selatan
64,64,Kalimantan Timur
65,65,Kalimantan Utara
71,71,Sulawesi Utara
72,72,Sulawesi Tengah
73,73,Sulawesi Selatan
74,74,Sulawesi Tenggara
75,75,Gorontalo
76,76,Sulawesi Barat
81,81,Maluku
82,82,Maluku Utara
91,91,Papua
92,92,Papua Barat
93,93,Papua Selatan
94,94,Papua Tengah
95,95,Papua Pegunungan
96,96,Papua Barat Daya
