id,province_id,code,name
1101,11,11.01,Kabupaten Aceh Selatan
1102,11,11.02,Kabupaten Aceh Tenggara
1103,11,11.03,Kabupaten Aceh Timur
1104,11,11.04,Kabupaten Aceh Tengah
1105,11,11.05,Kabupaten Aceh Barat
1106,11,11.06,Kabupaten Aceh Besar
1107,11,11.07,Kabupaten Pidie
1108,11,11.08,Kabupaten Aceh Utara
1109,11,11.09,Kabupaten Simeulue
1110,11,11.10,Kabupaten Aceh Singkil
1111,11,11.11,Kabupaten Bireuen
1112,11,11.12,Kabupaten Aceh Barat Daya
1113,11,11.13,Kabupaten Gayo Lues
1114,11,11.14,Kabupaten Aceh Jaya
1115,11,11.15,Kabupaten Nagan Raya
1116,11,11.16,Kabupaten Aceh Tamiang
1117,11,11.17,Kabupaten Bener Meriah
1118,11,11.18,Kabupaten Pidie Jaya
1171,11,11.71,Kota Banda Aceh
1172,11,11.72,Kota Sabang
1173,11,11.73,Kota Lhokseumawe
1174,11,11.74,Kota Langsa
1175,11,11.75,Kota Subulussalam
1201,12,12.01,Kabupaten Tapanuli Tengah
1202,12,12.02,Kabupaten Tapanuli Utara
1203,12,12.03,Kabupaten Tapanuli Selatan
1204,12,12.04,Kabupaten Nias
1205,12,12.05,Kabupaten Langkat
1206,12,12.06,Kabupaten Karo
1207,12,12.07,Kabupaten Deli Serdang
1208,12,12.08,Kabupaten Simalungun
1209,12,12.09,Kabupaten Asahan
1210,12,12.10,Kabupaten Labuhanbatu
1211,12,12.11,Kabupaten Dairi
1212,12,12.12,Kabupaten Toba
1213,12,12.13,Kabupaten Mandailing Natal
1214,12,12.14,Kabupaten Nias Selatan
1215,12,12.15,Kabupaten Pakpak Bharat
1216,12,12.16,Kabupaten Humbang Hasundutan
1217,12,12.17,Kabupaten Samosir
1218,12,12.18,Kabupaten Serdang Bedagai
1219,12,12.19,Kabupaten Batu Bara
1220,12,12.20,Kabupaten Padang Lawas Utara
1221,12,12.21,Kabupaten Padang Lawas
1222,12,12.22,Kabupaten Labuhanbatu Selatan
1223,12,12.23,Kabupaten Labuhanbatu Utara
1224,12,12.24,Kabupaten Nias Utara
1225,12,12.25,Kabupaten Nias Barat
1271,12,12.71,Kota Medan
1272,12,12.72,Kota Pematangsiantar
1273,12,12.73,Kota Sibolga
1274,12,12.74,Kota Tanjungbalai
1275,12,12.75,Kota Binjai
1276,12,12.76,Kota Tebing Tinggi
1277,12,12.77,Kota Padangsidimpuan
1278,12,12.78,Kota Gunungsitoli
1301,13,13.01,Kabupaten Pesisir Selatan
1302,13,13.02,Kabupaten Solok
1303,13,13.03,Kabupaten Sijunjung
1304,13,13.04,Kabupaten Tanah Datar
1305,13,13.05,Kabupaten Padang Pariaman
1306,13,13.06,Kabupaten Agam
1307,13,13.07,Kabupaten Lima Puluh Kota
1308,13,13.08,Kabupaten Pasaman
1309,13,13.09,Kabupaten Kepulauan Mentawai
1310,13,13.10,Kabupaten Dharmasraya
1311,13,13.11,Kabupaten Solok Selatan
1312,13,13.12,Kabupaten Pasaman Barat
1371,13,13.71,Kota Padang
1372,13,13.72,Kota Solok
1373,13,13.73,Kota Sawahlunto
1374,13,13.74,Kota Padang Panjang
1375,13,13.75,Kota Bukittinggi
1376,13,13.76,Kota Payakumbuh
1377,13,13.77,Kota Pariaman
1401,14,14.01,Kabupaten Kampar
1402,14,14.02,Kabupaten Indragiri Hulu
1403,14,14.03,Kabupaten Bengkalis
1404,14,14.04,Kabupaten Indragiri Hilir
1405,14,14.05,Kabupaten Pelalawan
1406,14,14.06,Kabupaten Rokan Hulu
1407,14,14.07,Kabupaten Rokan Hilir
1408,14,14.08,Kabupaten Siak
1409,14,14.09,Kabupaten Kuantan Singingi
1410,14,14.10,Kabupaten Kepulauan Meranti
1471,14,14.71,Kota Pekanbaru
1472,14,14.72,Kota Dumai
1501,15,15.01,Kabupaten Kerinci
1502,15,15.02,Kabupaten Merangin
1503,15,15.03,Kabupaten Sarolangun
1504,15,15.04,Kabupaten Batanghari
1505,15,15.05,Kabupaten Muaro Jambi
1506,15,15.06,Kabupaten Tanjung Jabung Barat
1507,15,15.07,Kabupaten Tanjung Jabung Timur
1508,15,15.08,Kabupaten Bungo
1509,15,15.09,Kabupaten Tebo
1571,15,15.71,Kota Jambi
1572,15,15.72,Kota Sungai Penuh
1601,16,16.01,Kabupaten Ogan Komering Ulu
1602,16,16.02,Kabupaten Ogan Komering Ilir
1603,16,16.03,Kabupaten Muara Enim
1604,16,16.04,Kabupaten Lahat
1605,16,16.05,Kabupaten Musi Rawas
1606,16,16.06,Kabupaten Musi Banyuasin
1607,16,16.07,Kabupaten Banyuasin
1608,16,16.08,Kabupaten Ogan Komering Ulu Timur
1609,16,16.09,Kabupaten Ogan Komering Ulu Selatan
1610,16,16.10,Kabupaten Ogan Ilir
1611,16,16.11,Kabupaten Empat Lawang
1612,16,16.12,Kabupaten Penukal Abab Lematang Ilir
1613,16,16.13,Kabupaten Musi Rawas Utara
1671,16,16.71,Kota Palembang
1672,16,16.72,Kota Pagar Alam
1673,16,16.73,Kota Lubuk Linggau
1674,16,16.74,Kota Prabumulih
1701,17,17.01,Kabupaten Bengkulu Selatan
1702,17,17.02,Kabupaten Rejang Lebong
1703,17,17.03,Kabupaten Bengkulu Utara
1704,17,17.04,Kabupaten Kaur
1705,17,17.05,Kabupaten Seluma
1706,17,17.06,Kabupaten Mukomuko
1707,17,17.07,Kabupaten Lebong
1708,17,17.08,Kabupaten Kepahiang
1709,17,17.09,Kabupaten Bengkulu Tengah
1771,17,17.71,Kota Bengkulu
1801,18,18.01,Kabupaten Lampung Selatan
1802,18,18.02,Kabupaten Lampung Tengah
1803,18,18.03,Kabupaten Lampung Utara
1804,18,18.04,Kabupaten Lampung Barat
1805,18,18.05,Kabupaten Tulang Bawang
1806,18,18.06,Kabupaten Tanggamus
1807,18,18.07,Kabupaten Lampung Timur
1808,18,18.08,Kabupaten Way Kanan
1809,18,18.09,Kabupaten Pesawaran
1810,18,18.10,Kabupaten Pringsewu
1811,18,18.11,Kabupaten Mesuji
1812,18,18.12,Kabupaten Tulang Bawang Barat
1813,18,18.13,Kabupaten Pesisir Barat
1871,18,18.71,Kota Bandar Lampung
1872,18,18.72,Kota Metro
1901,19,19.01,Kabupaten Bangka
1902,19,19.02,Kabupaten Belitung
1903,19,19.03,Kabupaten Bangka Selatan
1904,19,19.04,Kabupaten Bangka Tengah
1905,19,19.05,Kabupaten Bangka Barat
1906,19,19.06,Kabupaten Belitung Timur
1971,19,19.71,Kota Pangkal Pinang
2101,21,21.01,Kabupaten Bintan
2102,21,21.02,Kabupaten Karimun
2103,21,21.03,Kabupaten Natuna
2104,21,21.04,Kabupaten Lingga
2105,21,21.05,Kabupaten Kepulauan Anambas
2171,21,21.71,Kota Batam
2172,21,21.72,Kota Tanjung Pinang
3101,31,31.01,Kabupaten Administrasi Kepulauan Seribu
3171,31,31.71,Kota Administrasi Jakarta Pusat
3172,31,31.72,Kota Administrasi Jakarta Utara 
3173,31,31.73,Kota Administrasi Jakarta Barat
3174,31,31.74,Kota Administrasi Jakarta Selatan
3175,31,31.75,Kota Administrasi Jakarta Timur
3201,32,32.01,Kabupaten Bogor
3202,32,32.02,Kabupaten Sukabumi
3203,32,32.03,Kabupaten Cianjur
3204,32,32.04,Kabupaten Bandung
3205,32,32.05,Kabupaten Garut
3206,32,32.06,Kabupaten Tasikmalaya
3207,32,32.07,Kabupaten Ciamis
3208,32,32.08,Kabupaten Kuningan
3209,32,32.09,Kabupaten Cirebon
3210,32,32.10,Kabupaten Majalengka
3211,32,32.11,Kabupaten Sumedang
3212,32,32.12,Kabupaten Indramayu
3213,32,32.13,Kabupaten Subang
3214,32,32.14,Kabupaten Purwakarta
3215,32,32.15,Kabupaten Karawang
3216,32,32.16,Kabupaten Bekasi
3217,32,32.17,Kabupaten Bandung Barat
3218,32,32.18,Kabupaten Pangandaran
3271,32,32.71,Kota Bogor
3272,32,32.72,Kota Sukabumi
3273,32,32.73,Kota Bandung
3274,32,32.74,Kota Cirebon
3275,32,32.75,Kota Bekasi
3276,32,32.76,Kota Depok
3277,32,32.77,Kota Cimahi
3278,32,32.78,Kota Tasikmalaya
3279,32,32.79,Kota Banjar
3301,33,33.01,Kabupaten Cilacap
3302,33,33.02,Kabupaten Banyumas
3303,33,33.03,Kabupaten Purbalingga
3304,33,33.04,Kabupaten Banjarnegara
3305,33,33.05,Kabupaten Kebumen
3306,33,33.06,Kabupaten Purworejo
3307,33,33.07,Kabupaten Wonosobo
3308,33,33.08,Kabupaten Magelang
3309,33,33.09,Kabupaten Boyolali
3310,33,33.10,Kabupaten Klaten
3311,33,33.11,Kabupaten Sukoharjo
3312,33,33.12,Kabupaten Wonogiri
3313,33,33.13,Kabupaten Karanganyar
3314,33,33.14,Kabupaten Sragen
3315,33,33.15,Kabupaten Grobogan
3316,33,33.16,Kabupaten Blora
3317,33,33.17,Kabupaten Rembang
3318,33,33.18,Kabupaten Pati
3319,33,33.19,Kabupaten Kudus
3320,33,33.20,Kabupaten Jepara
3321,33,33.21,Kabupaten Demak
3322,33,33.22,Kabupaten Semarang
3323,33,33.23,Kabupaten Temanggung
3324,33,33.24,Kabupaten Kendal
3325,33,33.25,Kabupaten Batang
3326,33,33.26,Kabupaten Pekalongan
3327,33,33.27,Kabupaten Pemalang
3328,33,33.28,Kabupaten Tegal
3329,33,33.29,Kabupaten Brebes
3371,33,33.71,Kota Magelang
3372,33,33.72,Kota Surakarta
3373,33,33.73,Kota Salatiga
3374,33,33.74,Kota Semarang
3375,33,33.75,Kota Pekalongan
3376,33,33.76,Kota Tegal
3401,34,34.01,Kabupaten Kulon Progo
